currentid   ICAO_type
C-FIDC      BE10            
C-FIDT      PC6T            
C-FIIL      AC90            
C-FIPC      PC12            
C-FIPM      P46T            
C-FIPN      PC12            
C-FIRD      AC90            
C-FIWZ      TBM8            
C-FIXS      C208            
C-FIZP      C208            
C-FJBM      C208            
C-FJDQ      BE10            
C-FJEA      BE10            
C-FJET      PC12            
C-FJJH      BE10            
C-FJKY      BE10            
C-FJME      B350            
C-FJMP      KODI            
C-FJOE      C208            
C-FJOH      BE20            
C-FJTQ      C208            
C-FJXB      C208            
C-FKAB      PC12            
C-FKAE      C208            
C-FKAL      C208            
C-FKAY      C208            
C-FKBI      BE20            
C-FKCA      C208            
C-FKEJ      BE20            
C-FKEX      BE20            
C-FKEY      C208            
C-FKGE      PC12            
C-FKGO      PC12            
C-FKIO      MU2             
C-FKJI      BE20            
C-FKKH      B350            
C-FKLR      C208            
C-FKMG      B350            
C-FKNH      KODI            
C-FKPA      PC12            
C-FKPI      PC12            
C-FKPX      PC12            
C-FKQK      KODI            
C-FKRR      TBM9            
C-FKSJ      C208            
C-FKTE      B350            
C-FLAC      C208            
C-FLDC      C208            
C-FLHA      C208            
C-FLOR      BE9L            
C-FLPC      B350            
C-FLRB      BE10            
C-FLRD      BE10            
C-FLTS      BE10            
C-FLWX      PC12            
C-FLXD      C208            
C-FLXR      PC12            
C-FLYJ      BE20            
C-FMAO      PC12            
C-FMCX      AC90            
C-FMFP      AC90            
C-FMFQ      BE9L            
C-FMFR      BE9L            
C-FMFS      BE9L            
C-FMFU      BE9L            
C-FMFX      BE9L            
C-FMFY      BE9L            
C-FMFZ      BE9L            
C-FMGC      BE20            
C-FMGP      B350            
C-FMHD      B350            
C-FMHJ      PC12            
C-FMKF      M700            
C-FMKP      C208            
C-FMPA      PC12            
C-FMPB      PC12            
C-FMPF      PC12            
C-FMPK      PC12            
C-FMUN      B360            
C-FMUS      KODI            
C-FMWM      BE10            
C-FMXY      BE10            
C-FMYW      PC12            
C-FNAO      AC90            
C-FNED      BE9L            
C-FNME      C208            
C-FNNC      BE20            
C-FNQB      C208            
C-FNRM      AC90            
C-FNRP      AC90            
C-FNTA      B350            
C-FNVR      C208            
C-FNWC      C441            
C-FODZ      C208            
C-FOFM      C208            
C-FOPD      PC12            
C-FOPE      PC12            
C-FOPM      M600            
C-FOTW      C208            
C-FPBC      BE10            
C-FPCL      PC12            
C-FPCN      PC12            
C-FPCP      B350            
C-FPNG      PC12            
C-FPNJ      PAY1            
C-FPNX      BE20            
C-FPOS      C208            
C-FPQQ      BE20            
C-FPWR      B350            
C-FPXD      C208            
C-FPXS      C208            
C-FPXY      C208            
C-FPXZ      C208            
C-FRBI      PC12            
C-FRHH      C208            
C-FRHL      C208            
C-FRHM      C208            
C-FRHZ      BE20            
C-FRLM      BE20            
C-FRPH      C208            
C-FRRQ      BE20            
C-FRTV      C208            
C-FRUU      TBM8            
C-FRWD      TBM9            
C-FRWK      MU2             
C-FRWV      KODI            
C-FSAO      BE20            
C-FSCO      PC12            
C-FSDA      AC90            
C-FSEA      C425            
C-FSEW      BE30            
C-FSFI      PC12            
